Video ID,Bitrate,Codec Type,Quality Type
7446172713175043344,1180472,h265_hvc1,14
7446172713175043344,994694,h264,25
7446172713175043344,842701,h265_hvc1,28
7447298193034841349,423637,h264,20
7447298193034841349,205898,h265_hvc1,28
7447298193034841349,192791,h264,25
7374021636023962912,1723821,h264,10
7374021636023962912,1041987,h265_hvc1,2
7374021636023962912,545418,h265_hvc1,14
7374021636023962912,393108,h265_hvc1,28
7323950770846567685,2147188,h264,20
7323950770846567685,1254308,h265_hvc1,14
7323950770846567685,1195438,h264,24
7323950770846567685,879582,h265_hvc1,28
7323950770846567685,853728,h264,25
7354964611180842282,1047699,h265_hvc1,2
7354964611180842282,672359,h264,20
7354964611180842282,599638,h265_hvc1,14
7354964611180842282,479139,h265_hvc1,28
7354964611180842282,198068,h264,25
7428677464647322911,817864,h265_hvc1,2
7428677464647322911,682349,h264,20
7428677464647322911,608630,h265_hvc1,14
7428677464647322911,512294,h265_hvc1,28
7428677464647322911,269640,h264,25
7216748102059969834,1582156,h264,20
7216748102059969834,1452490,h265_hvc1,2
7216748102059969834,1451056,h264,10
7216748102059969834,754411,h265_hvc1,14
7216748102059969834,680735,h264,25
7216748102059969834,616448,h265_hvc1,28
7226676201262189829,2320479,h264,20
7226676201262189829,1641466,h265_hvc1,2
7226676201262189829,1324358,h264,24
7226676201262189829,984544,h265_hvc1,14
7226676201262189829,960538,h264,25
7226676201262189829,750304,h265_hvc1,28
7364271981786664198,1988498,h264,20
7364271981786664198,1462700,h265_hvc1,2
7364271981786664198,1174084,h264,24
7364271981786664198,972600,h265_hvc1,14
7364271981786664198,868490,h264,25
7364271981786664198,783634,h265_hvc1,28
7310215249439837442,1573352,h264,20
7310215249439837442,649771,h265_hvc1,28
7214142456911203590,2532261,h264,20
7214142456911203590,2101607,h265_hvc1,2
7214142456911203590,1350051,h264,24
7214142456911203590,1163830,h265_hvc1,14
7214142456911203590,1072078,h265_hvc1,28
7214142456911203590,952771,h264,25
7349055750607490312,1480496,h264,20
7349055750607490312,1446334,h265_hvc1,2
7349055750607490312,909920,h265_hvc1,14
7349055750607490312,776484,h265_hvc1,28
7244810553783323910,1579097,h264,20
7244810553783323910,885511,h264,24
7244810553783323910,729745,h265_hvc1,14
7244810553783323910,614863,h265_hvc1,28
7426193645281332487,1928116,h264,20
7426193645281332487,849145,h264,25
7426193645281332487,689333,h265_hvc1,14
7426193645281332487,549224,h265_hvc1,28
7344217362557684994,1987699,h264,20
7344217362557684994,1827428,h265_hvc1,2
7344217362557684994,1115968,h265_hvc1,14
7344217362557684994,921463,h265_hvc1,28
7400983261817720071,2803809,h264,20
7400983261817720071,1886138,h265_hvc1,2
7400983261817720071,1117905,h265_hvc1,14
7400983261817720071,857757,h265_hvc1,28
7346701253281352968,909628,h264,20
7346701253281352968,760876,h265_hvc1,2
7346701253281352968,520139,h264,24
7346701253281352968,422749,h265_hvc1,14
7346701253281352968,324919,h265_hvc1,28
7246746532144450821,2376854,h264,20
7246746532144450821,1370256,h264,24
7246746532144450821,880865,h265_hvc1,28
7454072089536892190,1059784,h264,20
7454072089536892190,917055,h265_hvc1,2
7454072089536892190,620029,h265_hvc1,14
7454072089536892190,518053,h265_hvc1,28
7454072089536892190,481321,h264,25
7221783162433686810,621970,h264,20
7221783162433686810,386531,h265_hvc1,2
7221783162433686810,348305,h264,24
7221783162433686810,223873,h265_hvc1,14
7221783162433686810,194435,h265_hvc1,28
7424838559380573448,1390190,h264,20
7424838559380573448,1304166,h265_hvc1,2
7424838559380573448,555696,h265_hvc1,14
7424838559380573448,469453,h265_hvc1,28
7259323916752145672,1896631,h264,20
7259323916752145672,1152086,h264,24
7259323916752145672,796211,h265_hvc1,28
