video_path,duration_seconds,subtitle_text
data/raw/videos\tamlyhoc\69.channel1_7370197796130934034.mp4,0,No subtitles found
data/raw/videos\tamlyhoc\bacsigiang.dieuritramcam_7281986301321137415.mp4,0,No subtitles found
data/raw/videos\tamlyhoc\bacthayxaydungcongdong_7264898881584958722.mp4,0,No subtitles found
data/raw/videos\tamlyhoc\baobeiiphn_7342136598504475911.mp4,0,No subtitles found
data/raw/videos\tamlyhoc\bookland.vn_7215927268940483867.mp4,0,No subtitles found
data/raw/videos\tamlyhoc\caothaochiase_7202634825889500442.mp4,0,No subtitles found
data/raw/videos\tamlyhoc\chinhtai97_7358420748236524801.mp4,0,No subtitles found
data/raw/videos\tamlyhoc\cochidei_7299688765079981314.mp4,0,No subtitles found
data/raw/videos\tamlyhoc\cochidei_7365854648911105297.mp4,0,No subtitles found
data/raw/videos\tamlyhoc\daihocdunghocdaiofficial_7246980348628716802.mp4,0,No subtitles found
data/raw/videos\tamlyhoc\factallday_7012559233329761537.mp4,0,No subtitles found
data/raw/videos\tamlyhoc\hongdocsach_7211074534558993670.mp4,0,No subtitles found
data/raw/videos\tamlyhoc\huynhanhbinh_7200962177367428378.mp4,0,No subtitles found
data/raw/videos\tamlyhoc\kethaotungtamlyyy_7273859915909729541.mp4,0,No subtitles found
data/raw/videos\tamlyhoc\kht.vng.tui.tr7_7452737125021240584.mp4,0,No subtitles found
data/raw/videos\tamlyhoc\lifecoachtuean_7388103130497486096.mp4,0,No subtitles found
